中文名,外文名,ICAO代码,IATA代码,通航日期,所属地区,飞行区等级,机场类型,地区管理,航站楼面积,机位数量,跑道长度,航线数量,通航城市,旅客吞吐量,货邮吞吐量,起降架次,运营机构,开通城市,总投资,跑&nbsp;&nbsp;&nbsp;&nbsp;道,轨道交通线路站点,铁&nbsp;&nbsp;&nbsp;&nbsp;路,旅客捷运系统,枢纽航司,地&nbsp;&nbsp;&nbsp;&nbsp;址,安全管理机构,设计旅客年吞吐量,设计货邮年吞吐量,东跑道长度,西跑道长度,跑道宽度,客运航线,地理位置,始建时间,航站楼数量,机场地址,通航时间,机场代码,机场性质
满洲里西郊机场,Manzhouli Xijiao Airport,ZBMZ,NZH,2005年2月25日,中国内蒙古自治区呼伦贝尔市满洲里市,4D级,民用运输机场,中国民用航空华北地区管理局,20700平方米（截至2019年10月）,7个（截至2019年10月）,2800米（截至2019年10月）,10 条 （2023年夏秋航季）,10座（2023年夏秋航季）,90395 人次 （2022年）,53.6 吨 （2022年）,1216架次（2022年）,海南机场设施股份有限公司 满洲里西郊机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
忻州五台山机场,Xinzhou Wutaishan Airport,ZBXZ,WUT,2015年12月25日,中国山西省忻州市,4C级,军民合用机场,中国民用航空华北地区管理局,13340平方米（截至2020年3月）,5个（截至2020年3月）,2600米（截至2020年3月）,9 条 （2024年夏秋航季）,13座（2024年夏秋航季）,297052 人次 （2021年）,167.3 吨 （2021年）,4418架次（2021年）,山西航空产业集团有限公司 忻州市五台山机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
文山砚山机场,Wenshan Yanshan Airport,ZPWS,WNH,2006年8月30日,中国云南省文山壮族苗族自治州,4C级,民用运输机场,中国民用航空西南地区管理局,3200平方米（截至2020年4月）,4个（截至2020年4月）,2400米（截至2020年4月）,12 条 （2021年夏秋航季）,14座（2021年夏秋航季）,17.09 万人次 （2020年）,128.9 吨 （2020年）,8826架次（2020年）,云南机场集团有限责任公司,,,,,,,,,,,,,,,,,,,,,,
怀化芷江机场,Huaihua Zhijiang Airport,ZGCJ,HJJ,2005年12月19日,中国湖南省怀化市,4C级,军民合用机场,中国民用航空中南地区管理局,2000 m² （截至2021年2月）,4 个 （截至2021年2月）,2600 m （截至2021年2月）,7 条 （2022年夏秋航季）,11座（2022年夏秋航季）,349195 人次 （2021年）,7.6 吨 （2021年）,32886架次（2021年）,湖南省机场管理集团有限公司 湖南机场股份有限公司怀化芷江机场分公司,,,,,,,,,,,,,,,,,,,,,,
林芝米林机场,Nyingchi Mainling Airport,ZUNZ,LZY,2006年9月1日,中国西藏自治区林芝市,4D级,军民合用机场,中国民用航空西南地区管理局,10360平方米（截至2019年4月）,19 个 （截至2021年3月）,3000 m （截至2019年4月）,15条（截至2018年12月）,12个（截至2018年12月）,55.7878万人次（2019年）,2526.2吨（2019年）,6894架次（2019年）,中国民用航空西藏自治区管理局 林芝航站,,,,,,,,,,,,,,,,,,,,,,
新源那拉提机场,Xinyuan Nalati Airport,ZWNL,NLT,2006年7月15日,新疆维吾尔自治区伊犁哈萨克自治州新源县,4C,民用运输机场,中国民用航空新疆管理局,2896 m² （截至2013年5月）,4 个 （截至2014年5月）,2300 m （截至2014年5月）,4 条 （2020夏秋航季）,4个（2020夏秋航季）,11.31 万人次 （2019年）,19.5 吨 （2019年）,2002架次（2019年）,新疆机场（集团）有限责任公司伊宁（那拉提）机场,,,,,,,,,,,,,,,,,,,,,,
莎车叶尔羌机场,Shache Yarkand Airport,ZWSC,QSZ,2017年8月1日,新疆维吾尔自治区喀什地区莎车县,4C,民用运输机场,中国民用航空新疆管理局,8725 m² （截至2017年8月）,4 个 （截至2017年8月）,3000 m （截至2017年8月）,3 条 （2020夏秋航季）,3个（2020夏秋航季）,33.03 万人次 （2019年）,1076.4 吨 （2019年）,4285架次（2019年）,新疆机场（集团）有限责任公司,,,,,,,,,,,,,,,,,,,,,,
黔东南黎平机场,Qiandongnan Liping Airport,ZUNP,HZH,2005年11月6日,中国贵州省黔东南苗族侗族自治州,4C级,民用运输机场,中国民用航空西南地区管理局,3040 m² （截至2022年2月）,3 个 （截至2022年2月）,2200 m （截至2022年2月）,1 条 （2023年夏秋航季）,2座 （2023年夏秋航季）,14810 人次 （2022年）,,4080架次 （2022年）,贵州民航产业集团有限公司 贵州省黎平高屯机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
郴州北湖机场,Chenzhou Beihu Airport,ZGCZ,HCZ,2021年9月16日,中国湖南省郴州市,4C,民用运输机场,中国民用航空中南地区管理局,6419 m² （截至2021年9月）,6 个 （截至2021年9月）,2600 m （截至2021年9月）,6 条 （2022年夏秋航季）,11座（2022年夏秋航季）,43810 人次 （2021年）,,650架次（2021年）,湖南省机场管理集团有限公司 郴州北湖机场有限公司,,,,,,,,,,,,,,,,,,,,,,
图木舒克唐王城机场,Tumushuke Tangwangcheng Airport,ZWTS,TWC,2018年12月26日,中国新疆维吾尔自治区图木舒克市,4C级,民用运输机场,中国民用航空新疆管理局,6000 m² （截至2023年12月）,10 个 （截至2023年12月）,3000 m （截至2023年12月）,16 条 （2023年夏秋航季）,17座（2023年夏秋航季）,181382 人次 （2021年）,197.3 吨 （2021年）,3652架次（2021年）,新疆机场集团公司阿克苏（图木舒克）机场公司,,,,,,,,,,,,,,,,,,,,,,
陇南成县机场,Longnan Chengxian Airport,ZLLN,LNL,2018年3月25日,中国甘肃省陇南市,4C,民用运输机场,中国民用航空西北地区管理局,6632平方米（截至2020年3月）,6个（截至2020年3月）,2800米（截至2020年3月）,8 条 [18] （截至2024年1月）,16个 [18] （截至2024年1月）,338658 人次 （2023年）,108.8 吨 （2022年）,4535 （2023年）,甘肃省民航机场集团有限公司 陇南机场公司,,,,,,,,,,,,,,,,,,,,,,
湘西边城机场,Xiangxi Biancheng Airport,ZGXX,DXJ,2023年8月18日,中国湖南省湘西土家族苗族自治州,4C,民用运输机场,中国民用航空中南地区管理局,10999 m² （截至2023年8月）,5 个 （截至2023年8月）,2600 m （截至2023年8月）,2 条 （2023年夏秋航季）,2座（2023年夏秋航季）,,,,湖南省机场管理集团有限公司 湘西边城机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
岳阳三荷机场,Yueyang Sanhe Airport,ZGYY,YYA,2018年12月26日,中国湖南省岳阳市,4C级,民用运输机场,中国民用航空中南地区管理局,9000 m² （截至2020年8月）,6 个 （截至2020年8月）,2600 m （截至2020年8月）,18 条 （2022年夏秋航季）,21座（2022年夏秋航季）,36.48 万人次 （2022年）,88.0 吨 （2021年）,10168架次（2021年）,岳阳三荷机场投资建设管理有限公司,,,,,,,,,,,,,,,,,,,,,,
信阳明港机场,Xinyang Minggang Airport,ZHXY,XAI,2018年10月28日 （民航部分）,中国河南省信阳市,4C,军民合用机场,中国民用航空中南地区管理局,3000 m² （截至2018年10月）,5 个 （截至2018年10月）,2700 m （截至2018年10月）,,9个 （2025年夏秋航季）,32.28 万人次 （2024年）,,3324架次 （2024年）,信阳机场运营发展有限公司,,,,,,,,,,,,,,,,,,,,,,
奇台江布拉克机场,Qitai Jiangbulake Airport,ZWQT,JBK,2024年8月8日,中国新疆维吾尔自治区昌吉回族自治州,4C,民用机场,中国民用航空新疆管理局,5036 m² （截至2024年8月）,7 个 （截至2024年8月）,2800 m （截至2024年8月）,6 条 （2024年夏秋航季）,8座（2024年夏秋航季）,,,,新疆机场（集团）有限责任公司,,,,,,,,,,,,,,,,,,,,,,
鄂州花湖国际机场,Ezhou Huahu International Airport,ZHEC,EHU,2022年7月17日,中国湖北省 鄂州市,4E,民用运输机场,中国民用航空中南地区管理局,15000 m² （截至2022年6月）,124 个 （截至2022年6月）,3600 m （共2条，截至2022年6月）,15 条 （2023年夏秋航季）,21座（2023年夏秋航季）,420532 人次 （2023年）,1025000 吨 [93] （2024年）,16670架次（2023年）,湖北机场集团有限公司 湖北国际物流机场有限公司,,,,,,,,,,,,,,,,,,,,,,
玉林福绵机场,Yulin Fumian Airport,ZGYL,YLX,2020年8月28日,中国广西壮族自治区玉林市,4C级,民用运输机场,中国民用航空中南地区管理局,21100 m² （截至2020年8月）,7 个 （截至2020年8月）,2600 m （截至2020年8月）,14 条 （2022年夏秋航季）,14座（2022年夏秋航季）,363941 人次 （2021年）,30.0 吨 （2021年）,4587架次（2021年）,广西机场管理集团有限责任公司 玉林福绵机场有限公司,,,,,,,,,,,,,,,,,,,,,,
百色巴马机场,Baise Bama Airport,ZGBS,AEB,2007年2月4日,广西壮族自治区百色市,4C级,军民合用机场,中国民用航空中南地区管理局,1350平方米（截至2020年2月）,,2500米（截至2020年2月）,3 条 （2023年夏秋航季）,11座 [17],22.5185万人次(2019年),34.5吨（2019年）,2908架次(2019年),广西机场管理集团有限责任公司 百色机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
大兴安岭鄂伦春机场,Da Hinggan Ling Oroqen Airport,ZYJD,JGD,2012年6月18日,中国黑龙江省大兴安岭地区加格达奇区,4C级,民用运输机场,中国民用航空东北地区管理局,4870平方米（截至2015年2月）,3 个 （截至2021年1月）,2300米、500米，共2条（截至2015年2月）,6 条 （截至2021年1月）,7个（截至2021年1月）,18.2783万人次（2019年）,97.4吨（2019年）,3558架次（2019年）,黑龙江省机场管理集团有限公司 [7],,,,,,,,,,,,,,,,,,,,,,
阆中古城机场,Langzhong Gucheng Airport,ZULA,LZG,2023年12月17日,中国四川省南充市阆中市,4C,民用运输机场,中国民用航空西南地区管理局,7210 m² （截至2023年12月）,11 个 （截至2023年12月）,2600 m （截至2023年12月）,4 条 （2024/2025年冬春航季）,4座（2024/2025年冬春航季）,17 万人次 [32] （2024年）,,,阆中古城机场管理有限公司,,,,,,,,,,,,,,,,,,,,,,
白城长安机场,BaiCheng ChangAn Airport,ZYBA,DBC,2017年3月31日,中国吉林省白城市,4C级,民用运输机场,中国民用航空东北地区管理局,4500 m² （截至2021年2月）,4 个 （截至2021年2月）,2500 m （截至2021年2月）,4 条 （2024夏秋航季）,6座（2024夏秋航季）,154779 人次 （2023年）,0 吨 （2023年）,2346架次（2023年）,吉林省民航机场集团公司白城机场分公司,,,,,,,,,,,,,,,,,,,,,,
朔州滋润机场,Shuozhou Zirun Airport,ZBSG,SZH,2023年12月18日,中国山西省朔州市,4C,民用运输机场,中国民用航空华北地区管理局,6500 m² （截至2023年12月）,10 个 （截至2023年12月）,2600 m （截至2023年12月）,3 条 （2023/2024年冬春航季）,5座（2023/2024年冬春航季）,,,,朔州机场建设管理有限公司 山西航空产业集团有限公司,,,,,,,,,,,,,,,,,,,,,,
邵阳武冈机场,Shaoyang Wugang Airport,ZGSY,WGN,2017年6月28日,中国湖南省邵阳市武冈市,4C级,民用运输机场,中国民用航空中南地区管理局,3210 m² （截至2021年2月）,4 个 （截至2021年2月）,2600 m （截至2021年2月）,2 条 （2022年夏秋航季）,3座（2022年夏秋航季）,302563 人次 （2021年）,3.8 吨 （2021年）,4250架次（2021年）,湖南省机场管理集团有限公司 邵阳武冈机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
于田万方机场,Yutian Wanfang Airport,ZWYT,YTW,2020年12月26日,中国新疆维吾尔自治区和田地区于田县,4C,军民合用机场,中国民用航空新疆管理局,3010 m² （截至2020年12月）,6 个 （截至2020年12月）,3200 m （截至2020年12月）,8 条 （2021年夏秋航季）,7座 （2021年夏秋航季）,1218 人次 （2020年）,0.3 吨 （2020年）,18架次（2020年）,新疆机场（集团）有限责任公司和田机场,,,,,,,,,,,,,,,,,,,,,,
阿里昆莎机场,Nagri Gunsa Airport,ZUAL,NGQ,2010年7月1日,中国西藏自治区阿里地区,4D级,军民合用机场 [21],中国民用航空西南地区管理局,3969平方米（截至2020年4月）,4个（截至2020年4月）,4500米（截至2020年4月）,5 条 （2021年夏秋航季）,5座（2021年夏秋航季）,96425 人次 （2020年）,28.5 吨 （2020年）,1314架次（2020年）,中国民用航空西藏自治区管理局 中国民用航空阿里航站,,,,,,,,,,,,,,,,,,,,,,
扎兰屯成吉思汗机场,Zhalantun Genghis Khan Airport,ZBZL,NZL,2016年12月28日,内蒙古自治区扎兰屯市,4C,民用运输机场,中国民用航空华北地区管理局,8400 m² （截至2017年12月）,5 个 （截至2017年12月）,2500 m （截至2017年12月）,3 条 （2020夏秋航季）,3个 （2020夏秋航季）,14.12 万人次 （2019年）,61.9 吨 （2019年）,14868架次（2019年）,内蒙古自治区民航机场管理集团有限责任公司 内蒙古扎兰屯民航机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
霍林郭勒霍林河机场,Huolingol Huolinhe Airport,ZBHZ,HUO,2017年6月2日,内蒙古自治区通辽市霍林郭勒市,4C,民用运输机场,中国民用航空华北地区管理局,7471 m² （截至2017年5月）,3 个 （截至2017年5月）,2700 m （截至2017年5月）,3 条 （2020夏秋航季）,4个（2020夏秋航季）,8.40 万人次 （2019年）,5.3 吨 （2019年）,2321架次（2019年）,内蒙古自治区民航机场管理集团有限责任公司 内蒙古霍林河民航机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
松原查干湖机场,Songyuan Chaganhu Airport,ZYSQ,YSQ,2017年10月29日,中国吉林省松原市,4C级,民用运输机场,中国民用航空东北地区管理局,6000 m² （截至2019年7月）,5 个 （截至2019年7月）,2500 m （截至2019年7月）,5 条 [14] （2025年夏秋季）,8座 [14] （2025年夏秋季）,162667 人次 [15] （2024年）,13.4 吨 [15] （2024年）,39144架次 [15] （2024年）,海南空港控股运营管理有限公司 松原查干湖机场管理有限公司,,,,,,,,,,,,,,,,,,,,,,
丽水机场,Lishui Airport,ZSLI,LIJ,2025年7月18日,中国浙江省丽水市,4C,军民合用机场,中国民用航空华东地区管理局,12100 m² （截至2025年7月）,8 个 （截至2025年7月）,2800 m （截至2025年7月）,5 条 （2025年夏秋航季）,5座（2025年夏秋航季）,,,,浙江省机场集团有限公司,,,,,,,,,,,,,,,,,,,,2025年7月18日,,
沧源佤山机场,Cangyuan Washan Airport,ZPCW,CWJ,2016年12月8日,中国云南省临沧市沧源佤族自治县,4C级,民用运输机场,中国民用航空西南地区管理局,3000 m² （截至2016年12月）,4 个 （截至2016年10月）,2600 m （截至2016年10月）,5 条 （2020夏秋航季）,8个（2020夏秋航季）,33.72 万人次 （2019年）,98.8 吨 （2019年）,2944架次（2019年）,云南机场集团有限责任公司,,,,,,,,,,,,,,,,,,,,,,
昭苏天马机场,Zhaosu Tianma Airport,ZWZS,ZFL,2022年4月22日,中国新疆维吾尔自治区伊犁哈萨克自治州,4C,民用机场 [29],中国民用航空新疆管理局,3140 m² （截至2022年4月）,5 个 （截至2022年4月）,2800 m （截至2022年4月）,12 条 （2024年夏秋航季）,9 （2024年夏秋航季）,4808 人次 （2022年）,5.3 吨 （2022年）,92架次（2022年）,新疆机场（集团）有限责任公司昭苏机场,,,,,,,,,,,,,,,,,,,,,,
邯郸机场,Handan Airport,ZBHD,HDG,2007年8月8日,中国河北省邯郸市,4C,民用运输机场,中国民用航空华北地区管理局,20000 m² （截至2020年9月）,11 个 （截至2020年9月）,2600 m （截至2020年9月）,11 条 （2022年夏秋航季）,16座（2022年夏秋航季）,623633 人次 （2021年）,804.1 吨 （2021年）,49534架次（2021年）,邯郸机场集团有限公司,,,,,,,,,,,,,,,,,,,,,,
若羌楼兰机场,Ruoqiang Loulan Airport,,,2018年3月29日,中国新疆维吾尔自治区巴音郭楞蒙古自治州若羌县,4C级,民用运输机场,中国民用航空新疆管理局,6400平方米（截至2018年3月）,5个（截至2018年3月）,2800米（截至2018年3月）,2条（截至2020年5月）,2个（截至2020年5月）,13.1110万人次（2019年）,34.4吨（2019年）,2269架次（2019年）,新疆机场（集团）有限责任公司 库尔勒机场,,,,,,,,,,,,,,,,,,,,,IATA：RQA，ICAO：ZWRQ,
甘孜格萨尔机场,Ganzi Gesar Airport,ZUGZ,GZG,2019年9月16日,中国四川省甘孜藏族自治州,4C级,民用运输机场,中国民用航空西南地区管理局,3000平方米（截至2020年4月）,4个（截至2020年4月）,4000米（截至2020年4月）,1 条 （2023年夏秋航季）,1座（2023年夏秋航季）,80788 人次 （2021年）,6.6 吨 （2021年）,1718架次（2021年）,四川航空公司 四川康定机场集团有限责任公司 四川甘孜格萨尔机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
黔南荔波机场,Qian&#x27;nan Libo Airport,ZULB,LLB,2007年11月7日,中国贵州省黔南布依族苗族自治州,4C,民用运输机场,中国民用航空西南地区管理局,3334 m² （截至2022年1月）,2 个 （截至2022年1月）,2600 m [19] （截至2022年1月）,4 条 （2022年夏秋航季）,5座（2022年夏秋航季）,292 人次 （2023年）,,47架次（2023年） [16],贵州省机场集团有限公司 黔南州荔波机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
布尔津喀纳斯机场,Burqin Kanasi Airport,ZWKN,KJI,2007年8月15日,中国新疆维维吾尔自治区阿勒泰地区布尔津县,4C级,民用运输机场,中国民用航空新疆管理局,3379平方米（截至2015年11月）,4个（截至2015年11月）,2500米（截至2015年11月）,6条（截至2020年5月）,9个（截至2020年5月）,16.4511万人次（2019年）,9.6吨（2019年）,3059架次（2019年）,新疆机场（集团）有限责任公司 阿勒泰机场,,,,,,,,,,,,,,,,,,,,,,
承德普宁机场,Chengde Puning Airport,ZBCD,CDE,2017年5月31日,中国河北省承德市,4C级,民用运输机场,中国民用航空华北地区管理局,5000平方米（截至2017年6月）,5个（截至2017年6月）,2800米（截至2017年6月）,7 条 （2022年夏秋航季）,8座（2024年夏秋航季）,294900 人次 （2021年）,108.5 吨 （2021年）,2583架次（2021年）,首都机场集团公司 河北机场管理集团有限公司 承德机场有限公司,,,,,,,,,,,,,,,,,,,,,,
巴中恩阳机场,Bazhong Enyang Airport,ZUBZ,BZX,2019年2月3日 [3],中国四川省巴中市,4C级,民用运输机场,中国民用航空西南地区管理局,13000 m² [21],7个（截至2019年2月）,2600米，共1条（截至2019年2月）,16 条 [17] （2025-2026冬春航季航班）,16个 [17] （2025-2026冬春航季航班）,50.78 万人次 [46] （2024年）,45.3 吨 [26] （2024年）,7万架次 [46] （2024年）,四川九寨黄龙机场有限责任公司 [3] 巴中恩阳机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,国内支线机场 [2]
漠河古莲机场,Mohe Gulian Airport,ZYMH,OHE,2008年6月18日,中国黑龙江省大兴安岭地区漠河市,4C,民用运输机场,中国民用航空东北地区管理局,6300 m² （截至2023年1月）,8 个 （截至2023年1月）,2800 m （截至2023年1月）,2 条 （2022/2023冬春航季）,2座（2022/2023冬春航季）,14458 人次 （2021年）,3.6 吨 （2021年）,298架次（2021年）,黑龙江省机场管理集团有限公司 漠河机场分公司,,,,,,,,,,,,,,,,,,,,,,
白山长白山机场,Baishan Changbaishan Airport,ZYBS,NBS,2008年8月3日,吉林省白山市抚松县,4D级,民用运输机场,中国民用航空东北地区管理局,20731 m² （截至2025年6月）,20 个 （截至2025年6月）,2600 m （截至2025年6月）,7 条 （2022年夏秋航季）,7座（2022年夏秋航季）,272168 人次 （2021年）,56.8 吨 （2021年）,3265架次（2021年）,首都机场集团公司 吉林省民航机场集团公司 长白山机场公司,,,,,,,,,,,,,,,,,,,,,,
天水麦积山机场,Tianshui Maijishan Airport,ZLTS,THQ,2008年9月28日,中国甘肃省天水市,3C级,军民合用机场,中国民用航空西北地区管理局,0.21万平方米（截至2019年4月）,,2800米，共1条（截至2019年4月）,,2个（截至2024年3月）,17.96万人次（2018年）,97.5吨（2018年）,0.31万架次（2018年）,甘肃省民航机场集团 [13],,,,,,,,,,,,,,,,,,,,,,
腾冲驼峰机场,Tenchong Tuofeng Airport,ZPTC,TCZ,2009年1月23日,中国云南省保山市,4C级,民用运输机场,中国民用航空西南地区管理局,27326平方米（截至2020年4月）,12个（截至2020年4月）,2350米（截至2020年4月）,14 条 （2022/2023年冬春航季）,13座（2022/2023年冬春航季）,136.7494万人次（2019年）,3005.7吨（2019年）,1.2542万架次（2019年）,云南机场集团有限公司腾冲机场,,,,,,,,,,,,,,,,,,,,,,
澜沧景迈机场,Lancang Jingmai Airport,ZPJM,JMJ,2017年5月26日,云南省普洱市澜沧县,4C,民用运输机场,中国民用航空西南地区管理局,3210 m² （截至2017年4月）,4 个 （截至2017年4月）,2600 m （截至2017年4月）,8 条 （2020夏秋航季）,6个 （2020夏秋航季）,45.34 万人次 （2019年）,176.3 吨 （2019年）,5076架次 （2019年）,云南机场集团有限责任公司 澜沧景迈机场,,,,,,,,,,,,,,,,,,,,,,
玉树巴塘机场,Yushu Bangtang Airport,ZLYS,YUS,2009年8月1日,中国青海省玉树藏族自治州,4C级,民用运输机场,中国民用航空西北地区管理局,10028 m² （截至2022年8月）,13 个 （截至2022年8月）,3800 m （截至2022年8月）,5 条 （2022年夏秋航季）,4座（2022年夏秋航季）,374561 人次 （2021年）,944.4 吨 （2021年）,4584架次（2021年）,西部机场集团青海机场有限公司 玉树机场分公司,,,,,,,,,,,,,,,,,,,,,,
大庆萨尔图机场,Daqing Sartu Airport,ZYDQ,DQA,2009年9月1日,中国黑龙江省大庆市,4C级,民用运输机场,中国民用航空东北地区管理局,13987 m² （截至2021年2月）,8 个 （截至2021年2月）,2600 m （截至2021年2月）,14 条 （截至2021年2月）,15座（截至2021年2月）,85.8021万人次（截至2019年）,1324.6吨（2019年）,6697架次（截至2019年）,黑龙江省机场管理集团有限公司 大庆萨尔图机场管理有限公司,,,,,,,,,,,,,,,,,,,,,,
伊春林都机场,Yichun Lindu Airport,ZYLD,LDS,2009年8月27日,中国 黑龙江省 伊春市 伊美区,4C级,民用运输机场,中国民用航空东北地区管理局,9139平方米（截至2019年12月）,8个（截至2020年12月）,2800米（截至2019年12月）,3 条 （2023年夏秋航季）,5座（2023年夏秋航季）,16.1776万人次（2019年）,26.2吨（2019年）,1804架次（2019年）,首都机场集团公司 黑龙江省机场管理集团有限公司 伊春机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
鸡西兴凯湖机场,Jixi Xingkai Lake Airport,ZYJX,JXA,2009年10月16日,中国黑龙江省鸡西市,4C级,民用运输机场,中国民用航空东北地区管理局,17676.75 m² （截至2022年1月）,10 个 （截至2022年1月）,2800 m （截至2022年1月）,8 条 （2025/2026年冬春航季）,11座 （2025/2026年冬春航季）,421675 人次 （2024年）,522.3 吨 （2024年）,3204架次 （2024年）,首都机场集团有限公司 黑龙江省机场管理集团有限公司,,,,,,,,,,,,,,,,,,,,,,
二连浩特赛乌素国际机场,Erenhot Saiwusu International Airport Ereen HôtSain Ûs  Guójìjīchǎng [30],ZBER,ERL,2010年4月1日,中国内蒙古自治区锡林郭勒盟二连浩特市,4C级,民用运输机场,中国民用航空华北地区管理局,10952平方米（截至2020年4月）,5个（截至2020年4月）,2800米（截至2020年4月）,5 条 （2024/2025年冬春航季）,7座（2024/2025年冬春航季）,227323 人次 （2024年）,60.2 吨 （2024年）,4170架次（2024年）,内蒙古自治区民航机场管理集团有限责任公司 二连浩特赛乌素机场管理有限公司,,,,,,,,,,,,,,,,,,,,,,
吐鲁番交河机场,Turpan Jiaohe Airport,ZWTL,TLQ,2010年7月9日,中国新疆维吾尔自治区吐鲁番市,4E级,民用运输机场,中国民用航空新疆管理局,5300 m² （截至2021年11月）,23 个 （截至2021年11月）,3200 m （截至2021年11月）,24 条 （2024年夏秋航季）,26 （2024年夏秋航季）,10.1 万人次 [53] （2024年7月）,59.1 吨 （2021年）,1219架次（2021年）,新疆机场（集团）有限责任公司,,,,,,,,,,,,,,,,,,,,,,
博乐阿拉山口机场,Bole Alashankou Airport,,,2010年7月10日,中国新疆维吾尔自治区博尔塔拉蒙古自治州博乐市,4C级,民用运输机场,中国民用航空新疆管理局,5000平方米（截至2019年7月）,4个（截至2019年7月）,2600米（截至2019年7月）,5条（截至2020年5月）,6个（截至2020年5月）,30.3664万人次（2019年）,44.4吨（2019年）,56156架次（2019年）,新疆机场（集团）有限责任公司,,,,,,,,,,,,,,,,,,,,,IATA：BPL，ICAO：ZWBL,
固原六盘山机场,Guyuan Liupanshan Airport,ZLGY,GYU,2010年6月26日,中国宁夏回族自治区固原市,4C级,民用运输机场,中国民用航空西北地区管理局,3500 m² （截至2022年12月）,5 个 （截至2022年12月）,2800 m （截至2022年12月）,5 条 （2023/2024年冬春航季）,8座（2023/2024年冬春航季）,182860 人次 （2021年）,12.6 吨 （2021年）,13606架次（2021年）,西部机场集团宁夏机场有限公司 固原分公司,,,,,,,,,,,,,,,,,,,,,,
阿里普兰机场,Nagri Pulan Airport,ZUPL,APJ,2023年12月27日,中国西藏自治区阿里地区,4C,军民合用机场,中国民用航空西南地区管理局,6000 m² （截至2023年12月）,5 个 （截至2023年12月）,4500 m （截至2023年12月）,,,143 人次 （2023年）,,2架次（2023年）,中国民用航空西藏自治区管理局 西部机场集团有限公司,,,,,,,,,,,,,,,,,,,,,,
唐山三女河机场,Tangshan Sannvhe Airport,ZBSN,TVS,2010年7月13日,中国河北省唐山市,4C级,军民合用机场,中国民用航空华北地区管理局,6187平方米（截至2020年5月）,8个（截至2020年5月）,2700米（截至2020年5月）,17 条 （2023年夏秋航季）,23座（2023年夏秋航季）,346024 人次 （2022年）,302.3 吨 （2022年）,4783架次（2022年）,海航集团有限公司 唐山三女河机场管理有限公司,,,,,,,,,,,,,,,,,,,,,,
淮安涟水国际机场,Huaian Lianshui International Airport,ZSSH,HIA,2010年9月26日,中国江苏省淮安市,4D级,民用运输机场,中国民用航空华东地区管理局,17700 m² （截至2021年4月）,22 个 （截至2021年4月）,2800 m （截至2021年4月）,23 条 （2022/2023年冬春航季）,28座（2022/2023年冬春航季）,1404683 人次 （2021年）,19637.4 吨 （2021年）,31194架次（2021年）,东部机场集团有限公司 淮安涟水国际机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
日喀则和平机场,Shigatse Heping Airport / Xigaze Peace Airport,,,2011年7月8日,中国西藏自治区日喀则市,4C级,军民合用机场,中国民用航空西南地区管理局,4502平方米（截至2019年4月）,3个（截至2019年4月）,5000米、3000米（截至2019年4月）,6条（截至2018年8月）,5个（截至2018年8月）,15.5432万人次（2019年）,430.2吨（2019年）,1856架次（2019年）,中国民用航空西藏自治区管理局,,,,,,,,,,,,,,,,,,,,,IATA：RKZ，ICAO：ZURK,
黔江武陵山机场,Qianjiang Wulingshan Airport,ZUQJ,JIQ,2010年11月22日,中国重庆市黔江区,4C级,民用运输机场,中国民用航空西南地区管理局,2900平方米（截至2020年5月）,4个（截至2020年5月）,2400米（截至2020年5月）,9条（2020年夏航季）,,49.8128万人次（2019年）,214.2吨（2019年）,5672架次（2019年）,重庆机场集团有限公司 重庆市黔江武陵山机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
金昌金川机场,Jinchang Jinchuan Airport,ZLJC,JIC,2011年8月29日,中国甘肃省金昌市,4C级,民用运输机场,中国民用航空西北地区管理局,3960平方米（截至2020年4月）,4个（截至2020年4月）,3000米（截至2020年4月）,4条（截至2020年4月）,6个（截至2020年4月）,19.3976万人次（2019年）,164.9吨（2019年）,2202架次（2019年）,甘肃省民航机场集团有限公司 金昌机场公司,,,,,,,,,,,,,,,,,,,,,,
阿尔山伊尔施机场,Arxan Yi&#x27;ershi Airport,ZBES,YIE,2011年8月28日,中国内蒙古自治区兴安盟阿尔山市,4C级,民用运输机场,中国民用航空华北地区管理局,5920平方米（截至2016年7月）,3个（截至截至2016年7月）,2400米（截至截至2016年7月）,3条（截至2020年5月）,4个（截至2020年5月）,10.4036万人次（2019年）,354.2吨（2019年）,2208架次（2019年）,内蒙古民航机场集团公司 阿尔山民航机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
