中文名,外文名,ICAO代码,IATA代码,通航日期,所属地区,飞行区等级,机场类型,地区管理,航站楼面积,机位数量,跑道长度,航线数量,通航城市,旅客吞吐量,货邮吞吐量,起降架次,运营机构,开通城市,总投资,跑&nbsp;&nbsp;&nbsp;&nbsp;道,轨道交通线路站点,铁&nbsp;&nbsp;&nbsp;&nbsp;路,旅客捷运系统,枢纽航司,地&nbsp;&nbsp;&nbsp;&nbsp;址,安全管理机构,设计旅客年吞吐量,设计货邮年吞吐量,东跑道长度,西跑道长度,跑道宽度,客运航线,地理位置,始建时间,航站楼数量,机场地址,通航时间,机场代码,机场性质
温州龙湾国际机场,Wenzhou Longwan International Airport,ZSWZ,WNZ,1990年7月12日,中国浙江省温州市,4E,民用运输机场,中国民用航空华东地区管理局,129500 m² （截至2018年6月）,59 个 （截至2018年6月）,3200 m （截至2018年6月）,125 条 （截至2018年6月）,累计150个 [6] （截至2020年6月）,1229 万人次 （2019年）,8.11 万吨 （2019年）,9.23万架次 （2019年）,温州机场集团有限公司,,,,,,,,,,,,,,,,,,,,,,
武汉天河国际机场,Wuhan Tianhe International Airport,ZHHH,WUH,1995年4月15日,中国湖北省武汉市,4F,民用运输机场,中国民用航空中南地区管理局,495000 m² （截至2020年8月）,117 个 （截至2020年8月）,3400 m （3600米，共2条）,,,3140.6 万人次 [24] [105] （2024年）,20.64 万吨 （2023年）,20.56万架次 （2023年）,湖北机场集团有限公司,,,,,,,,,,,,,,,,湖北省武汉市黄陂区天河街道机场大道 [48],,,,,,
武夷山机场,Wuyishan Airport,ZSWY,WUS,1994年1月15日,中国福建省南平市武夷山市,4C,军民合用机场,中国民用航空华东地区管理局,13544 m² （截至2020年4月）,8 个 （截至2020年4月）,2400 m （截至2020年4月）,7 条 （2022年夏秋航季）,10座 （2022年夏秋航季）,262920 人次 （2021年）,251.6 吨 （2021年）,3328架次 （2021年）,元翔（武夷山）机场有限公司,,,,,,,,,,,,,,,,,,,,,,
无锡硕放机场,Wuxi Shuofang Airport,ZSWX,WUX,2004年2月18日,中国江苏省无锡市,4E,军民合用机场,中国民用航空华东地区管理局,106000 m²,38 个,3200 m,,,10504277 人次 （2024年）,173497.4 吨 （2024年）,81445架次（2024年）,无锡苏南国际机场集团有限公司 苏南硕放国际机场有限公司,,,,,,,,,,,,,,,,,,,,,,
梧州西江机场 [21-22],Wuzhou Xijiang Airport,ZGWZ,WUZ,2019年1月23日,中国广西壮族自治区梧州市,4C级,民用运输机场,中国民用航空中南地区管理局,8000 m² （截至2022年5月）,5 个 （截至2022年5月）,2600 m （截至2022年5月）,6 条 （2022年夏秋航季）,10座 （2022年夏秋航季）,291636 人次 [19] （2023年）,74.2 吨 [19] （2023年）,116431 [19] （2023年）,广西机场管理集团有限责任公司 梧州西江机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
万州五桥机场,Wanzhou Wuqiao Airport,ZUWX,WXN,2003年5月29日,中国重庆市万州区,4C,民用运输机场,中国民用航空西南地区管理局,31780 m² （截至2019年8月）,16 个 （截至2019年8月）,2800 m （截至2020年6月）,,20座 （2025年夏秋航季）,81.12 万人次 （2024年）,522.60 吨 （2024年）,12461架次 （2024年）,重庆市万州机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
襄阳刘集机场,Xiangyang Liuji Airport,ZHXF,XFN,1989年12月14日,中国湖北省襄阳市,4D,民用运输机场,中国民用航空中南地区管理局,20000 m² （T2，截至2020年8月）,12 个 （截至2020年8月）,2600 m （截至2020年8月）,20 条 （2024年夏秋航季）,30个（2024年夏秋航季）,1133075 人次 （2022年）,2019.9 吨 （2022年）,6.4479万架次 （2022年）,湖北机场集团襄阳机场公司,,,,,,,,,,,,,,,,,,,,,,
西昌青山机场,Xichang Qingshan Airport,ZUXC,XIC,1975年5月1日,中国四川省凉山彝族自治州,4D级,军民合用机场,中国民用航空西南地区管理局,10000 m² （截至2021年2月）,19 个 （截至2021年2月）,3600 m （截至2021年2月）,43 条 （2022/2023年冬春航季）,33座（2022/2023年冬春航季）,1595315 人次 （2021年）,4564.8 吨 （2021年）,17454架次（2021年）,四川省机场集团有限公司,,,,,,,,,,,,,,,,,,,,,,
锡林浩特机场,Xilinhot Airport,ZBXH,XIL,1992年7月22日,中国内蒙古自治区锡林郭勒盟,4C,民用运输机场,中国民用航空华北地区管理局,6337 m² （截至2022年2月）,7 个 （截至2022年2月）,2800 m （截至2022年2月）,16 条 （2022年夏秋航季）,18座（2022年夏秋航季）,603379 人次 （2021年）,1497.6 吨 （2021年）,24895架次（2021年）,内蒙古民航机场集团有限责任公司 内蒙古锡林浩特民航机场有限责任公司,,,,,,,,,,,,,,,,,,,,,,
西安咸阳国际机场,Xi&#x27;an Xianyang International Airport,ZLXY,XIY,1991年9月1日,中国陕西省西安市、咸阳市,4F,民用运输机场,中国民用航空西北地区管理局,1160000 m² [288] （截至2025年2月）,127 个 （截至2017年11月）,3000 至 3800 m [176] [244] （共4条，其中1条在建，截至2025年12月）,313 条 （截至2017年11月）,161个（国内） [105],4703.04 万人次 （2024年）,29.05 万吨 （2024年）,33.26万架次 （2024年）,西部机场集团,,,,,,,,,,,,,,,,,,,,,,
