"module name","license","repository"
"@babel/plugin-transform-block-scoping@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-class-properties@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-class-static-block@7.26.0","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-classes@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-computed-properties@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-destructuring@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-dotall-regex@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-duplicate-keys@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-duplicate-named-capturing-groups-regex@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-dynamic-import@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-exponentiation-operator@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-export-namespace-from@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-for-of@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-function-name@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-json-strings@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-literals@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-logical-assignment-operators@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-member-expression-literals@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-amd@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-commonjs@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-systemjs@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-umd@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-named-capturing-groups-regex@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-new-target@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-nullish-coalescing-operator@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-numeric-separator@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-object-rest-spread@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-object-super@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-optional-catch-binding@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-optional-chaining@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-parameters@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-private-methods@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-private-property-in-object@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-property-literals@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-regenerator@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-regexp-modifiers@7.26.0","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-reserved-words@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-shorthand-properties@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-spread@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-sticky-regex@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-template-literals@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-typeof-symbol@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-typescript@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-unicode-escapes@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-unicode-property-regex@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-unicode-regex@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-unicode-sets-regex@7.25.9","MIT","https://github.com/babel/babel"
"@babel/preset-env@7.26.0","MIT","https://github.com/babel/babel"
"@babel/preset-modules@0.1.6-no-external-plugins","MIT","https://github.com/babel/preset-modules"
"@babel/preset-typescript@7.24.7","MIT","https://github.com/babel/babel"
"@babel/runtime@7.25.0","MIT","https://github.com/babel/babel"
"@babel/template@7.25.9","MIT","https://github.com/babel/babel"
"@babel/traverse@7.25.9","MIT","https://github.com/babel/babel"
"@babel/types@7.26.0","MIT","https://github.com/babel/babel"
"@braintree/sanitize-url@7.1.0","MIT","https://github.com/braintree/sanitize-url"
"@chevrotain/cst-dts-gen@11.0.3","Apache-2.0","https://github.com/Chevrotain/chevrotain"
"@chevrotain/gast@11.0.3","Apache-2.0","https://github.com/Chevrotain/chevrotain"
"@chevrotain/regexp-to-ast@11.0.3","Apache-2.0","https://github.com/Chevrotain/chevrotain"
"@chevrotain/types@11.0.3","Apache-2.0","https://github.com/Chevrotain/chevrotain"
"@chevrotain/utils@11.0.3","Apache-2.0","https://github.com/Chevrotain/chevrotain"
"@clack/core@0.3.4","MIT","https://github.com/natemoo-re/clack"
"@clack/prompts@0.7.0","MIT","https://github.com/natemoo-re/clack"
"@commitlint/cli@19.6.0","MIT","https://github.com/conventional-changelog/commitlint"
"@commitlint/config-conventional@19.6.0","MIT","https://github.com/conventional-changelog/commitlint"
"@commitlint/config-validator@19.5.0","MIT","https://github.com/conventional-changelog/commitlint"
"@commitlint/cz-commitlint@19.5.0","MIT","https://github.com/conventional-changelog/commitlint"
"@commitlint/ensure@19.5.0","MIT","https://github.com/conventional-changelog/commitlint"
"@commitlint/execute-rule@19.5.0","MIT","https://github.com/conventional-changelog/commitlint"
"@commitlint/format@19.5.0","MIT","https://github.com/conventional-changelog/commitlint"
"@commitlint/is-ignored@19.6.0","MIT","https://github.com/conventional-changelog/commitlint"
"@commitlint/lint@19.6.0","MIT","https://github.com/conventional-changelog/commitlint"
"@commitlint/load@19.5.0","MIT","https://github.com/conventional-changelog/commitlint"
"@commitlint/message@19.5.0","MIT","https://github.com/conventional-changelog/commitlint"
"@commitlint/parse@19.5.0","MIT","https://github.com/conventional-changelog/commitlint"
"@commitlint/read@19.5.0","MIT","https://github.com/conventional-changelog/commitlint"
"@commitlint/resolve-extends@19.5.0","MIT","https://github.com/conventional-changelog/commitlint"
"@commitlint/rules@19.6.0","MIT","https://github.com/conventional-changelog/commitlint"
"@commitlint/to-lines@19.5.0","MIT","https://github.com/conventional-changelog/commitlint"
"@commitlint/top-level@19.5.0","MIT","https://github.com/conventional-changelog/commitlint"
"@commitlint/types@17.8.1","MIT","https://github.com/conventional-changelog/commitlint"
"@commitlint/types@19.5.0","MIT","https://github.com/conventional-changelog/commitlint"
"@conventional-changelog/git-client@1.0.1","MIT","https://github.com/conventional-changelog/conventional-changelog"
"@ctrl/tinycolor@3.6.1","MIT","https://github.com/scttcper/tinycolor"
"@dash14/svg-pan-zoom@3.6.9","BSD-2-Clause","https://github.com/dash14/svg-pan-zoom"
"@docsearch/css@3.6.2","MIT","https://github.com/algolia/docsearch"
